video_id,title,title_parsed,parsed_committee,parsed_date,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
RYF3CWmSjjk,Senate Judiciary (03/25/2025),yes,Judiciary,2025-03-25,yes,2025-03-25 12:58:46,2025-03-25T16:58:46Z,2025-03-25T19:18:55Z,PT2H20M20S,2025-03-26T07:59:08Z
bGKk06jcp0E,Senate Health and Human Services (03/26/2025),yes,Health and Human Services,2025-03-26,yes,2025-03-26 09:43:51,2025-03-26T13:43:51Z,2025-03-26T15:05:46Z,PT1H22M10S,2025-03-27T03:13:03Z
43UUCm5bNAY,Senate Executive Departments and Administration (03/26/2025),yes,Executive Departments and Administration,2025-03-26,yes,2025-03-26 08:58:51,2025-03-26T12:58:51Z,2025-03-26T15:08:58Z,PT2H10M16S,2025-03-27T03:27:40Z
r52dSP5guLk,Senate Session (03/27/2025),yes,Session,2025-03-27,yes,2025-03-27 09:58:41,2025-03-27T13:58:41Z,2025-03-27T19:25:35Z,PT5H26M33S,2025-03-27T19:48:56Z
qaqZ62mOiTs,Senate Commerce (04/01/2025),yes,Commerce,2025-04-01,yes,2025-04-01 09:30:11,2025-04-01T13:30:11Z,2025-04-01T16:14:04Z,PT2H44M1S,2025-04-02T04:32:37Z
LQY7CWriP4g,Senate Education (04/01/2025),yes,Education,2025-04-01,yes,2025-04-01 08:58:51,2025-04-01T12:58:51Z,2025-04-01T16:28:35Z,PT3H29M48S,2025-04-02T05:13:22Z
-TaDt47-Lyo,Senate Election Law and Municipal Affairs (04/01/2025),yes,Election Law and Municipal Affairs,2025-04-01,yes,2025-04-01 09:14:47,2025-04-01T13:14:47Z,2025-04-01T14:19:51Z,PT1H5M36S,2025-04-02T05:26:19Z
BwDDeQS9sTM,Senate Finance (04/01/2025),yes,Finance,2025-04-01,yes,2025-04-01 13:13:41,2025-04-01T17:13:41Z,2025-04-01T17:55:27Z,PT41M51S,2025-04-02T06:00:12Z
hLY2Vpx2b-Y,Senate Energy and Natural Resources (04/01/2025),yes,Energy and Natural Resources,2025-04-01,yes,2025-04-01 08:58:47,2025-04-01T12:58:47Z,2025-04-01T15:05:47Z,PT2H7M6S,2025-04-02T06:53:49Z
F4rhykzrpU4,Senate Judiciary (04/01/2025),yes,Judiciary,2025-04-01,yes,2025-04-01 12:58:11,2025-04-01T16:58:11Z,2025-04-01T19:34:44Z,PT2H36M43S,2025-04-02T07:51:37Z
Pz9KxqJ8-sw,Senate Executive Departments and Administration (04/02/2025),yes,Executive Departments and Administration,2025-04-02,yes,2025-04-02 08:57:46,2025-04-02T12:57:46Z,2025-04-02T14:50:24Z,PT1H52M46S,2025-04-03T02:56:26Z
CYgfqAQb1UA,Senate Ways and Means (04/02/2025),yes,Ways and Means,2025-04-02,yes,2025-04-02 09:28:46,2025-04-02T13:28:46Z,2025-04-02T15:29:13Z,PT2H31S,2025-04-03T03:52:36Z
GIMOLYmGZzU,Senate Health and Human Services (04/02/2025),yes,Health and Human Services,2025-04-02,yes,2025-04-02 09:43:46,2025-04-02T13:43:46Z,2025-04-02T16:13:41Z,PT2H27M31S,2025-04-03T04:39:23Z
qYahh4OdmpI,Senate Education (04/02/2025),yes,Education,2025-04-02,yes,2025-04-02 12:58:07,2025-04-02T16:58:07Z,2025-04-02T18:45:14Z,PT1H47M20S,2025-04-03T06:55:08Z
