video_id,title,title_parsed,parsed_committee,parsed_date,date_from,has_start_time,start_eastern,actual_start_utc,actual_end_utc,duration_iso,published_at
T5l3TVToXrA,Senate Session (02/05/2026),yes,Session,2026-02-05,title,yes,2026-02-05 09:58:52,2026-02-05T14:58:52Z,2026-02-05T20:54:52Z,PT5H55M56S,2026-02-05T21:10:12Z
cjfE1ndLkLY,Senate Election Law and Municipal Affairs (02/10/2026),yes,Election Law and Municipal Affairs,2026-02-10,title,yes,2026-02-10 08:58:42,2026-02-10T13:58:42Z,2026-02-10T16:00:05Z,PT2H1M30S,2026-02-11T04:35:32Z
reo5sLOwon0,Senate Commerce (02/10/2026),yes,Commerce,2026-02-10,title,yes,2026-02-10 08:28:42,2026-02-10T13:28:42Z,2026-02-10T16:43:54Z,PT3H15M12S,2026-02-11T05:10:01Z
tUqdSUm4l6w,Senate Energy and Natural Resources (02/10/2026),yes,Energy and Natural Resources,2026-02-10,title,yes,2026-02-10 08:58:46,2026-02-10T13:58:46Z,2026-02-10T16:49:14Z,PT2H50M40S,2026-02-11T05:14:28Z
r4BnYC6_85o,Senate Education (02/10/2026),yes,Education,2026-02-10,title,yes,2026-02-10 09:14:01,2026-02-10T14:14:01Z,2026-02-10T16:21:22Z,PT2H7M27S,2026-02-11T05:26:08Z
e4CJYe7GlRk,Senate Finance (02/10/2026),yes,Finance,2026-02-10,title,yes,2026-02-10 13:44:46,2026-02-10T18:44:46Z,2026-02-10T21:15:47Z,PT2H31M14S,2026-02-11T10:06:11Z
pLcAcDaDaC0,Senate Judiciary (02/10/2026),yes,Judiciary,2026-02-10,title,yes,2026-02-10 12:58:46,2026-02-10T17:58:46Z,2026-02-10T21:55:29Z,PT3H56M43S,2026-02-11T11:47:20Z
VdjMKUAq5Tc,Senate Health and Human Services (02/11/2026),yes,Health and Human Services,2026-02-11,title,yes,2026-02-11 08:57:31,2026-02-11T13:57:31Z,2026-02-11T19:26:48Z,PT5H29M6S,2026-02-11T19:40:50Z
MwdLayf1Li8,Senate Executive Departments and Administration (02/11/2026),yes,Executive Departments and Administration,2026-02-11,title,yes,2026-02-11 08:57:31,2026-02-11T13:57:31Z,2026-02-11T15:21:09Z,PT1H23M34S,2026-02-12T03:30:31Z
VoKkylA1jrk,Senate Judiciary (02/11/2026),yes,Judiciary,2026-02-11,title,yes,2026-02-11 13:00:56,2026-02-11T18:00:56Z,2026-02-11T21:38:20Z,PT3H37M41S,2026-02-12T10:17:22Z
rGrNt-KimP0,Senate Education Finance (02/12/2026),yes,Education Finance,2026-02-12,title,yes,2026-02-12 08:58:46,2026-02-12T13:58:46Z,2026-02-12T15:22:44Z,PT1H24M11S,2026-02-13T03:39:34Z
JXCR09--m6w,Senate Judiciary (02/12/2026),yes,Judiciary,2026-02-12,title,yes,2026-02-12 12:58:46,2026-02-12T17:58:46Z,2026-02-12T21:04:15Z,PT3H5M36S,2026-02-13T09:21:52Z
Rmk7jA6ze74,Senate Election Law and Municipal Affairs (02/17/2026),yes,Election Law and Municipal Affairs,2026-02-17,title,yes,2026-02-17 08:58:46,2026-02-17T13:58:46Z,2026-02-17T15:24:41Z,PT1H26M10S,2026-02-18T03:30:08Z
T5RDWvQsTGE,Senate Commerce (02/17/2026),yes,Commerce,2026-02-17,title,yes,2026-02-17 09:28:46,2026-02-17T14:28:46Z,2026-02-17T16:14:03Z,PT1H45M31S,2026-02-18T04:25:06Z
